scenario,boost_scenario,boost_recovery_curve,k_years,dose2_interval_years,group,is_no_revaccination,n_draws,infections_per1000_py_alive_median,infections_per1000_py_alive_lo95,infections_per1000_py_alive_hi95,cases_per1000_py_alive_median,cases_per1000_py_alive_lo95,cases_per1000_py_alive_hi95,hospitalizations_per1000_py_alive_median,hospitalizations_per1000_py_alive_lo95,hospitalizations_per1000_py_alive_hi95,deaths_per1000_py_alive_median,deaths_per1000_py_alive_lo95,deaths_per1000_py_alive_hi95
older_adult_vax_main,scenario_b,scenario_b,2,2,age_60plus,False,5,199.9727904179283,191.61460318815864,322.3344901772466,85.50400567506003,67.6087688734594,111.19666223457014,1.4355611148969947,1.2496865128491565,1.5675516339318283,0.07479773383781115,0.06403927143877569,0.08107536168473806
older_adult_vax_main,scenario_b,scenario_b,2,2,all_ages,False,5,327.93384876647764,298.37338229365577,507.4340158041578,121.75708566705903,116.31127828759676,175.19532158980158,0.9552402219394798,0.8625266204983716,1.1403337093656036,0.027858515584424943,0.024892108275850297,0.030863649094072243
older_adult_vax_main,scenario_b,scenario_b,2,2,vaccinated_primary,False,5,185.1087671744539,177.66595388767988,297.4847576496277,68.9538812452838,54.03499182760213,89.76998319433906,1.9039848599264406,1.578400576100267,2.0113915313429307,0.10239239471199471,0.08419909917443966,0.10776000254114182
older_adult_vax_main,scenario_b,scenario_b,2,2,vaccine_eligible,False,5,187.3474385511684,180.0156102356805,302.32700724180194,78.72006633808178,62.06370271269586,102.49165475491857,1.8984505413979142,1.6333527797641334,2.0604991832733317,0.09995634059469657,0.08477802696695931,0.10781180838668555
older_adult_vax_main,scenario_b,scenario_b,3,3,age_60plus,False,5,199.9628711460873,191.5672915004192,322.3222126644417,85.42069587038102,67.57749005290063,111.08123811679421,1.4327799049679248,1.248619327718109,1.5659941360965717,0.07464685749955284,0.06398023325699706,0.0809897302964858
older_adult_vax_main,scenario_b,scenario_b,3,3,all_ages,False,5,327.92904455885144,298.34500158832867,507.4294626599188,121.71199056435476,116.29862264147077,175.1805555882938,0.9548818853863118,0.8615764377397026,1.1398590723194406,0.02783762935234198,0.024869388249058846,0.03083500787858458
older_adult_vax_main,scenario_b,scenario_b,3,3,vaccinated_primary,False,5,185.10323478859618,177.6227090980169,297.47861683505346,68.68639914347065,53.92830847625828,89.41324620604216,1.8945181090407084,1.5746283218954005,2.0058584146417187,0.10187731156272452,0.08398978713289329,0.10745513880080368
older_adult_vax_main,scenario_b,scenario_b,3,3,vaccine_eligible,False,5,187.3359366235245,179.9650230683196,302.31246802688213,78.61498432735159,62.02450784326466,102.34717939873407,1.8946443588647048,1.6318962739538747,2.0583694064996454,0.09974949766478243,0.08469725780325355,0.10769448323591198
older_adult_vax_main,scenario_b,scenario_b,4,4,age_60plus,False,5,199.7435698689536,191.23307308035393,322.0319222588536,84.67784877342349,66.98396473380977,110.08993941649756,1.4104102006831827,1.2291203247614948,1.5417627847145787,0.07344333955684543,0.06293884030936808,0.07969013845856132
older_adult_vax_main,scenario_b,scenario_b,4,4,all_ages,False,5,327.78001459596186,298.1122164227831,507.2527268297508,121.33585422182855,116.07437591813863,174.87596980045922,0.9482635903863958,0.8538795691781587,1.131678295359828,0.02745961523629658,0.024517728789078836,0.03039976446713131
